'Nombre: AMBIENTALIA; Código: 12345678; Fecha: 13/04/2018 00:00:00; Canales: 12
#HHMM;4,PM10,µg/m³;5,PM2.5,µg/m³;1,NO,ppb;2,NO2,ppb;3,NOX,ppb;,SO2,ppb;,Latitud,grados;,Longitud,grados;,Altitud,m;,Humedad Int,% H.R.;,Temperatura Int,°C;,Estado Puerta,No definida;
0040 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2582.2  45.9  17.0  0.000 
0041 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2589.7  45.9  17.0  0.000 
0042 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2586.5  46.0  17.0  0.000 
0043 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2577.7  45.9  17.0  0.000 
0044 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2577.9  45.9  17.0  0.000 
0045 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2580.1  46.0  17.0  0.000 
0046 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2581.7  45.9  17.0  0.000 
0047 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2580.7  46.0  17.0  0.000 
0048 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2579.5  46.0  17.0  0.000 
0049 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2577.4  45.9  17.0  0.000 
0050 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2577.2  45.9  17.0  0.000 
0051 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2575.5  45.9  17.0  0.000 
0052 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2574.7  45.9  17.0  0.000 
0053 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2570.7  45.9  17.0  0.000 
0054 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2569.5  45.9  17.0  0.000 
0055 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2569.3  45.9  17.0  0.000 
0056 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2570.8  45.9  17.0  0.000 
0057 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2572.2  45.9  17.0  0.000 
0058 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2571.0  45.9  17.0  0.000 
0059 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2574.4  45.9  17.0  0.000 
0100 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2576.7  45.9  17.0  0.000 
0101 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2582.2  45.8  17.0  0.000 
0102 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2581.1  45.8  17.0  0.000 
0103 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2576.2  45.9  17.0  0.000 
0104 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2575.2  45.9  17.0  0.000 
0105 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2573.5  45.8  17.0  0.000 
0106 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2573.9  45.8  17.0  0.000 
0107 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2575.1  45.8  17.0  0.000 
0108 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2576.3  45.8  17.0  0.000 
0109 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2577.4  45.8  17.0  0.000 
0110 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2576.0  45.8  17.0  0.000 
0111 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2578.2  45.8  17.0  0.000 
0112 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2577.6  45.7  17.0  0.000 
0113 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2575.7  45.7  17.0  0.000 
0114 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2575.5  45.7  17.0  0.000 
0115 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2576.7  45.7  17.0  0.000 
0116 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2578.6  45.8  17.0  0.000 
0117 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2588.1  45.8  17.0  0.000 
0118 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2588.0  45.7  17.0  0.000 
0119 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2583.8  45.7  17.0  0.000 
0120 0.00D 0.00D 0.00D 0.00D 0.00D 0.00D 4°41'18''  74°4'33''  2581.2  45.7  17.0  0.000 
